Team,Win Avg,homeWin Avg,homeLoss Avg,awayWin Avg,awayLoss Avg,own_score@home,other_score@home,own_score@away,other_score@away
ARI,0.1875,0.125,0.875,0.25,0.75,12.25,23.875,15.875,29.25
ATL,0.4375,0.5,0.5,0.375,0.625,29.5,26.875,22.25,26.0
BAL,0.625,0.75,0.25,0.5,0.5,27.125,17.25,21.5,18.625
BUF,0.375,0.5,0.5,0.25,0.75,18.875,23.375,14.75,23.375
CAR,0.4375,0.625,0.375,0.25,0.75,25.5,21.875,21.5,25.875
CHI,0.75,0.875,0.125,0.625,0.375,28.125,17.5,24.5,17.875
CIN,0.375,0.5,0.5,0.25,0.75,24.125,28.5,21.875,28.375
CLE,0.4375,0.625,0.25,0.25,0.75,21.125,22.0,23.75,27.0
DAL,0.625,0.875,0.125,0.375,0.625,25.0,18.5,17.375,22.0
DEN,0.375,0.375,0.625,0.375,0.625,19.5,21.125,21.625,22.5
DET,0.375,0.375,0.625,0.375,0.625,18.625,26.0,21.875,19.0
GB,0.375,0.625,0.25,0.125,0.875,23.75,20.625,23.25,29.375
HOU,0.6875,0.75,0.25,0.625,0.375,25.875,17.0,24.375,22.5
IND,0.625,0.75,0.25,0.5,0.5,29.875,20.375,24.25,22.625
JAX,0.3125,0.375,0.625,0.25,0.75,16.0,15.125,14.625,24.375
KC,0.75,0.875,0.125,0.625,0.375,32.375,18.0,38.25,34.625
LA,0.8125,0.875,0.125,0.75,0.25,37.125,28.125,28.75,19.875
LAC,0.75,0.625,0.375,0.875,0.125,25.75,21.25,27.75,19.875
MIA,0.4375,0.75,0.25,0.125,0.875,22.75,21.625,17.125,32.5
MIN,0.5,0.625,0.375,0.375,0.5,22.0,19.625,23.0,23.0
NE,0.6875,1.0,0.0,0.375,0.625,32.875,16.625,21.625,24.0
NO,0.8125,0.75,0.25,0.875,0.125,34.125,25.625,28.875,18.5
NYG,0.3125,0.25,0.75,0.375,0.625,20.25,27.75,25.875,23.75
NYJ,0.25,0.25,0.75,0.25,0.75,23.5,31.0,18.125,24.125
OAK,0.25,0.375,0.625,0.125,0.875,22.375,29.875,13.875,28.5
PHI,0.5625,0.625,0.375,0.5,0.5,22.625,20.5,23.25,23.0
PIT,0.5625,0.625,0.375,0.5,0.375,30.0,22.5,23.5,22.5
SEA,0.625,0.75,0.25,0.5,0.5,28.5,21.625,25.0,21.75
SF,0.25,0.5,0.5,0.0,1.0,21.25,21.875,21.5,32.5
TB,0.3125,0.5,0.5,0.125,0.875,22.5,22.25,27.0,35.75
TEN,0.5625,0.75,0.25,0.375,0.625,22.25,18.875,16.5,19.0
WAS,0.4375,0.375,0.625,0.5,0.5,16.75,24.625,18.375,20.25
