season,team,home_score,away_score
2009,ARI,174,201
2009,ATL,180,183
2009,BAL,230,161
2009,BUF,137,121
2009,CAR,149,166
2009,CHI,203,124
2009,CIN,165,140
2009,CLE,125,120
2009,DAL,199,162
2009,DEN,146,180
2009,DET,159,103
2009,GB,219,242
2009,HOU,196,192
2009,IND,191,225
2009,JAC,183,107
2009,KC,137,157
2009,MIA,217,143
2009,MIN,262,208
2009,NE,250,177
2009,NO,254,256
2009,NYG,216,186
2009,NYJ,161,187
2009,OAK,92,105
2009,PHI,229,200
2009,PIT,201,167
2009,SD,220,234
2009,SEA,163,117
2009,SF,169,161
2009,STL,105,70
2009,TB,107,137
2009,TEN,222,132
2009,WAS,117,149
2010,ARI,189,100
2010,ATL,214,200
2010,BAL,188,169
2010,BUF,115,168
2010,CAR,88,108
2010,CHI,176,158
2010,CIN,185,137
2010,CLE,144,127
2010,DAL,221,173
2010,DEN,212,132
2010,DET,204,158
2010,GB,244,144
2010,HOU,197,193
2010,IND,216,219
2010,JAC,171,182
2010,KC,192,174
2010,MIA,139,134
2010,MIN,143,138
2010,NE,272,246
2010,NO,169,215
2010,NYG,192,202
2010,NYJ,166,201
2010,OAK,213,197
2010,PHI,177,262
2010,PIT,185,190
2010,SD,245,196
2010,SEA,176,134
2010,SF,188,117
2010,STL,158,131
2010,TB,167,174
2010,TEN,187,169
2010,WAS,151,151
2011,ARI,177,135
2011,ATL,236,166
2011,BAL,219,159
2011,BUF,217,155
2011,CAR,194,212
2011,CHI,205,148
2011,CIN,156,188
2011,CLE,98,120
2011,DAL,210,159
2011,DEN,134,175
2011,DET,243,231
2011,GB,321,239
2011,HOU,177,204
2011,IND,138,105
2011,JAC,145,98
2011,KC,106,106
2011,MIA,170,159
2011,MIN,190,150
2011,NE,246,267
2011,NO,329,218
2011,NYG,186,208
2011,NYJ,205,172
2011,OAK,179,180
2011,PHI,213,183
2011,PIT,200,125
2011,SD,209,197
2011,SEA,170,151
2011,SF,221,159
2011,STL,128,65
2011,TB,147,140
2011,TEN,157,168
2011,WAS,170,118
2012,ARI,158,92
2012,ATL,196,223
2012,BAL,254,144
2012,BUF,207,137
2012,CAR,150,207
2012,CHI,164,211
2012,CIN,194,197
2012,CLE,157,145
2012,DAL,208,168
2012,DEN,260,221
2012,DET,194,178
2012,GB,233,200
2012,HOU,234,182
2012,IND,185,172
2012,JAC,94,161
2012,KC,121,90
2012,MIA,163,125
2012,MIN,210,169
2012,NE,278,279
2012,NO,246,215
2012,NYG,278,151
2012,NYJ,152,129
2012,OAK,168,122
2012,PHI,161,119
2012,PIT,154,182
2012,SD,153,197
2012,SEA,243,169
2012,SF,198,199
2012,STL,145,154
2012,TB,195,194
2012,TEN,178,152
2012,WAS,206,230
2013,ARI,213,166
2013,ATL,183,170
2013,BAL,158,162
2013,BUF,192,147
2013,CAR,207,159
2013,CHI,215,230
2013,CIN,275,155
2013,CLE,175,133
2013,DAL,262,177
2013,DEN,316,290
2013,DET,226,169
2013,GB,203,214
2013,HOU,160,116
2013,IND,199,192
2013,JAC,98,149
2013,KC,185,245
2013,MIA,160,157
2013,MIN,221,170
2013,NE,243,201
2013,NO,272,142
2013,NYG,159,135
2013,NYJ,171,119
2013,OAK,165,157
2013,PHI,192,250
2013,PIT,189,190
2013,SD,197,199
2013,SEA,233,184
2013,SF,192,214
2013,STL,194,154
2013,TB,161,127
2013,TEN,196,166
2013,WAS,178,156
2014,ARI,163,147
2014,ATL,203,178
2014,BAL,203,206
2014,BUF,176,167
2014,CAR,146,193
2014,CHI,150,169
2014,CIN,215,150
2014,CLE,154,145
2014,DAL,192,275
2014,DEN,283,199
2014,DET,196,125
2014,GB,318,168
2014,HOU,195,177
2014,IND,224,234
2014,JAC,139,110
2014,KC,199,154
2014,MIA,205,183
2014,MIN,175,150
2014,NE,264,204
2014,NO,186,215
2014,NYG,186,194
2014,NYJ,144,139
2014,OAK,160,93
2014,PHI,261,213
2014,PIT,257,179
2014,SD,178,170
2014,SEA,209,185
2014,SF,153,153
2014,STL,189,135
2014,TB,114,163
2014,TEN,122,132
2014,WAS,142,159
2015,ARI,227,262
2015,ATL,187,152
2015,BAL,159,169
2015,BUF,191,188
2015,CAR,264,236
2015,CHI,164,171
2015,CIN,199,220
2015,CLE,157,121
2015,DAL,153,122
2015,DEN,173,182
2015,DET,203,155
2015,GB,186,182
2015,HOU,163,176
2015,IND,163,170
2015,JAC,198,178
2015,KC,189,216
2015,MIA,157,153
2015,MIN,201,164
2015,NE,253,212
2015,NO,259,149
2015,NYG,220,200
2015,NYJ,221,166
2015,OAK,171,188
2015,PHI,176,201
2015,PIT,245,178
2015,SD,167,153
2015,SEA,209,214
2015,SF,114,124
2015,STL,159,121
2015,TB,164,178
2015,TEN,142,157
2015,WAS,206,182
2016,ARI,203,215
2016,ATL,280,260
2016,BAL,183,160
2016,BUF,246,153
2016,CAR,184,185
2016,CHI,162,117
2016,CIN,188,137
2016,CLE,123,141
2016,DAL,233,188
2016,DEN,179,154
2016,DET,176,170
2016,GB,222,210
2016,HOU,161,118
2016,IND,176,235
2016,JAX,171,147
2016,KC,191,198
2016,LA,99,125
2016,MIA,203,160
2016,MIN,177,150
2016,NE,214,227
2016,NO,248,221
2016,NYG,168,142
2016,NYJ,139,136
2016,OAK,235,181
2016,PHI,194,173
2016,PIT,226,173
2016,SD,224,186
2016,SEA,227,127
2016,SF,163,146
2016,TB,174,180
2016,TEN,200,181
2016,WAS,190,206
2017,ARI,167,128
2017,ATL,180,173
2017,BAL,214,181
2017,BUF,161,141
2017,CAR,194,169
2017,CHI,148,116
2017,CIN,136,154
2017,CLE,102,132
2017,DAL,173,181
2017,DEN,172,117
2017,DET,216,194
2017,GB,139,181
2017,HOU,198,140
2017,IND,138,125
2017,JAX,225,192
2017,KC,193,222
2017,LA,216,262
2017,LAC,205,150
2017,MIA,169,112
2017,MIN,198,184
2017,NE,235,223
2017,NO,241,207
2017,NYG,125,121
2017,NYJ,186,112
2017,OAK,179,122
2017,PHI,229,228
2017,PIT,226,180
2017,SEA,199,167
2017,SF,175,156
2017,TB,159,176
2017,TEN,194,140
2017,WAS,186,156
2018,ARI,98,127
2018,ATL,236,178
2018,BAL,217,172
2018,BUF,151,118
2018,CAR,204,172
2018,CHI,225,196
2018,CIN,193,175
2018,CLE,169,190
2018,DAL,200,139
2018,DEN,156,173
2018,DET,149,175
2018,GB,190,186
2018,HOU,207,195
2018,IND,239,194
2018,JAX,128,117
2018,KC,259,306
2018,LA,297,230
2018,LAC,206,222
2018,MIA,182,137
2018,MIN,176,184
2018,NE,263,173
2018,NO,273,231
2018,NYG,162,207
2018,NYJ,188,145
2018,OAK,179,111
2018,PHI,181,186
2018,PIT,240,188
2018,SEA,228,200
2018,SF,170,172
2018,TB,180,216
2018,TEN,178,132
2018,WAS,134,147
