season,index,home_score,away_score
2009,ARI,21.75,25.125
2009,ATL,22.5,22.875
2009,BAL,28.75,20.125
2009,BUF,17.125,15.125
2009,CAR,18.625,20.75
2009,CHI,25.375,15.5
2009,CIN,20.625,17.5
2009,CLE,15.625,15.0
2009,DAL,24.875,20.25
2009,DEN,18.25,22.5
2009,DET,19.875,12.875
2009,GB,27.375,30.25
2009,HOU,24.5,24.0
2009,IND,23.875,28.125
2009,JAC,22.875,13.375
2009,KC,17.125,19.625
2009,MIA,27.125,17.875
2009,MIN,32.75,26.0
2009,NE,31.25,22.125
2009,NO,31.75,32.0
2009,NYG,27.0,23.25
2009,NYJ,20.125,23.375
2009,OAK,11.5,13.125
2009,PHI,28.625,25.0
2009,PIT,25.125,20.875
2009,SD,27.5,29.25
2009,SEA,20.375,14.625
2009,SF,21.125,20.125
2009,STL,13.125,8.75
2009,TB,13.375,17.125
2009,TEN,27.75,16.5
2009,WAS,14.625,18.625
2010,ARI,23.625,12.5
2010,ATL,26.75,25.0
2010,BAL,23.5,21.125
2010,BUF,14.375,21.0
2010,CAR,11.0,13.5
2010,CHI,22.0,19.75
2010,CIN,23.125,17.125
2010,CLE,18.0,15.875
2010,DAL,27.625,21.625
2010,DEN,26.5,16.5
2010,DET,25.5,19.75
2010,GB,30.5,18.0
2010,HOU,24.625,24.125
2010,IND,27.0,27.375
2010,JAC,21.375,22.75
2010,KC,24.0,21.75
2010,MIA,17.375,16.75
2010,MIN,17.875,17.25
2010,NE,34.0,30.75
2010,NO,21.125,26.875
2010,NYG,24.0,25.25
2010,NYJ,20.75,25.125
2010,OAK,26.625,24.625
2010,PHI,22.125,32.75
2010,PIT,23.125,23.75
2010,SD,30.625,24.5
2010,SEA,22.0,16.75
2010,SF,23.5,14.625
2010,STL,19.75,16.375
2010,TB,20.875,21.75
2010,TEN,23.375,21.125
2010,WAS,18.875,18.875
2011,ARI,22.125,16.875
2011,ATL,29.5,20.75
2011,BAL,27.375,19.875
2011,BUF,27.125,19.375
2011,CAR,24.25,26.5
2011,CHI,25.625,18.5
